Author; Title; Genre; Publisher; Year Of Release; ASIN; Narrator; Total listening time; Total Sales

Maeve Binchy;  Chestnut Street; Literary Fiction; Orion Publishing Group;2014; B00JEULL4G; Kate Binchy; 12 hours and 29 minutes; 45882
E L James;  Grey: Fifty Shades of Grey as told by Christian Grey; Romance; Random House Audiobooks; 2015;B00ZJ38Q2W; Zachary Webber;  18 hours and 52 minutes; 38733
Dr Eben Alexander; Proof of Heaven; Mind, Body & Spirit;Hachette Audio UK;2015;B00R921CZY;Dr Eben Alexander;  5 hours and 13 minutes; 2044
Simon Schama;  A History of Britain, Volume 1: At the Edge of the World, 3000 BC - AD 1603; History;Audible Studios; 2005; B002SQ3RJU; Timothy West; 8 hours and 2 minutes; 68827
Winston Graham ;Ross Poldark: Poldark, Book 1;  Historical Fiction;Pan Macmillan Publishers Ltd.;2015; B00UTYF2RS;Oliver J. Hembrough;  14 hours and 32 minutes; 94039
Peter Frankopan ;The Silk Roads: A New History of the World; History;Audible Studios for Bloomsbury;2015; B0119VB8Z4;  Laurence Kennedy ;  24 hours and 14 minutes; 20934
Stephen Fry;The Fry Chronicles: An Autobiography; Biographies & Memoirs ;Penguin Books Ltd ;2010; B0042TKNKC;  Stephen Fry;12 hours and 28 minutes; 86821
Charlotte Crosby;ME ME ME;Biographies & Memoirs;Headline Digital; 2015; B011CZG52S; Charlie Sanderson;6 hours and 23 minutes; 36204
